Ticker,Summary,Label,Confidence,URL
GME,"Video game retailer plans to close hundreds of stores in U.S., Australia.",negative,0.5612890720367432,https://finance.yahoo.com/news/why-gamestop-corp-gme-crashed-055747341.html
GME,Your information may be shared with third parties.,neutral,0.9321518540382385,https://www.google.com/search?q%3Dyahoo%2Bfinance%2BGME%26tbm%3Dnws%26pccc%3D1
GME,Consumer Discretionary sector has returned an average of 11.6% this year.,positive,0.5528727173805237,https://finance.yahoo.com/news/consumer-discretionary-stocks-lagging-gamestop-144012488.html
GME,We are aware of the issue and are working to resolve it.,neutral,0.7725824117660522,https://finance.yahoo.com/news/healthy-balance-sheet-won-t-193646025.html
GME,We are aware of the issue and are working to resolve it.,neutral,0.7725824117660522,https://finance.yahoo.com/news/heres-why-gamestop-gme-fell-224520124.html
GME,We are aware of the issue and are working to resolve it.,neutral,0.7725824117660522,https://finance.yahoo.com/news/gamestop-gme-falls-more-steeply-224520779.html
GME,Video game retailer reported better-than-expected third-quarter results.,positive,0.939883291721344,https://finance.yahoo.com/news/why-gamestop-gme-13-8-163011734.html
GME,We are aware of the issue and are working to resolve it.,neutral,0.7725824117660522,https://finance.yahoo.com/news/why-gamestop-gme-stock-down-162604744.html
GME,Video game retailer plans to close down over 100 stores in 2019.,negative,0.5539353489875793,https://finance.yahoo.com/news/why-gme-bce-slumping-today-185804276.html
GME,We are aware of the issue and are working to resolve it.,neutral,0.7725824117660522,https://finance.yahoo.com/news/gamestop-gme-gains-market-dips-224505608.html
GME,We are aware of the issue and are working to resolve it.,neutral,0.7725824117660522,https://finance.yahoo.com/news/gamestop-gme-registers-bigger-fall-214521016.html
TSLA,Tesla stands against other stocks on list of 15 stocks. Analysts are expecting continued growth in 2025 amid strong economic data,positive,0.8914781808853149,https://finance.yahoo.com/news/tesla-tsla-among-stocks-chatgpt-221105346.html
TSLA,"Musk is most likely candidate to buy TikTok, says Wedbush. TikTok needs to find an American buyer or face a countrywide ban",neutral,0.7599111199378967,https://finance.yahoo.com/news/tesla-stock-jumps-amid-speculation-musk-could-buy-tiktok-191001660.html
