Ticker,Summary,BERT Sentiment,BERT Score,RoBERTa Sentiment,RoBERTa Score,ALBERT Sentiment,ALBERT Score,URL
BTC,Japan’s Metaplanet adds $13 million to its Bitcoin holdings. El Salvador adds another 7 Bitcoin to its reserve,1 star,0.4343419671058655,CONTRADICTION,0.4951109290122986,LABEL_0,0.7802069187164307,https://www.tradingview.com/news/cointelegraph:7cacb5868094b:0-metaplanet-el-salvador-stack-bitcoin-as-btc-slides-5-in-10-hours/
BTC,Google Finance makes it easy to track stocks and keep up with your portfolio.,5 stars,0.5124163031578064,NEUTRAL,0.7074519991874695,LABEL_1,0.9029314517974854,https://www.fool.com/investing/how-to-invest/stocks/how-to-track-stocks-with-google-finance/
BTC,Finance’s ‘year to date’ return function is bafflingly wrong.,1 star,0.6703172922134399,NEUTRAL,0.641664981842041,LABEL_0,0.9991616010665894,https://sherwood.news/tech/direct-appeal-sundar-pichai-ceo-alphabet-fix-google-finance-stock-charts/
BTC,All photographs subject to copyright.,1 star,0.7617400884628296,NEUTRAL,0.5929253101348877,LABEL_1,0.7465406656265259,https://cointelegraph.com/news/crypto-stocks-down-ipos-punted-amid-tariff-tumult
BTC,"Holding company has been hoarding the cryptocurrency since November. Bitcoin is trading at $87,311 at the time of publication",1 star,0.7208617925643921,NEUTRAL,0.8451644778251648,LABEL_0,0.8525885939598083,https://www.tradingview.com/news/cointelegraph:5d1d50af0094b:0-the-blockchain-group-adds-580-btc-as-stock-jumps-226-since-bitcoin-pivot/
TSLA,All photographs subject to copyright.,1 star,0.7617400884628296,NEUTRAL,0.5929253101348877,LABEL_1,0.7465406656265259,https://cleantechnica.com/2025/04/06/evs-take-28-9-share-of-the-uk-tesla-top-bev-brand/
TSLA,.,3 stars,0.2539340555667877,ENTAILMENT,0.5970515608787537,LABEL_1,0.5391217470169067,https://www.reuters.com/business/autos-transportation/teslas-software-engineering-head-step-down-bloomberg-news-reports-2025-04-04/
TSLA,Target pushes Chinese suppliers to absorb U.S. tariffs. Furner outlines Walmart’s efforts to boost store managers’ pay,4 stars,0.2627800703048706,CONTRADICTION,0.5851753354072571,LABEL_0,0.9292021989822388,https://qz.com/tesla-stock-elon-musk-walmart-target-costco-1851774815
TSLA,"Journalists rent Tesla Cybertruck in U.S. capital. ‘Fuck you, and this truck, and Elon’",1 star,0.7901449799537659,CONTRADICTION,0.9004561305046082,LABEL_0,0.9302630424499512,https://www.afr.com/life-and-luxury/cars-bikes-and-boats/my-day-inside-the-world-s-most-hated-car-20250331-p5lny3
TSLA,edgesuite.net issues error while trying to load database.,1 star,0.45892396569252014,NEUTRAL,0.6466059684753418,LABEL_0,0.9977468848228455,https://www.cnbc.com/video/2025/04/04/ex-tesla-board-member-steve-westly-triple-whammy-behind-teslas-stock-decline.html
